Ciudad,Pais,Poblacion
Acarigua,Venezuela,143704
Alagoinhas,Brazil,122688
Alegrete,Brazil,87236
Almirante Tamandare,Brazil,89499
Alto Barinas,Venezuela,284289
Ambato,Ecuador,154369
Americana,Brazil,196022
Anaco,Venezuela,117596
Ananindeua,Brazil,433956
Anapolis,Brazil,319587
Angra dos Reis,Brazil,153635
Antofagasta,Chile,309832
Aparecida de Goiania,Brazil,510770
Apucarana,Brazil,107085
Aracaju,Brazil,490175
Aracatuba,Brazil,170024
Araguaina,Brazil,105019
Araguari,Brazil,96565
Arapiraca,Brazil,166562
Arapongas,Brazil,97512
Araraquara,Brazil,168468
Araras,Brazil,107463
Araruama,Brazil,109637
Araucaria,Brazil,111302
Arequipa,Peru,841130
Arica,Chile,185999
Armenia,Colombia,315328
Assis,Brazil,101597
Asuncion,Paraguay,1482200
Atibaia,Brazil,110968
Ayacucho,Peru,140033
Bage,Brazil,98940
Bahia Blanca,Argentina,276546
Balvanera,Argentina,152198
Barbacena,Brazil,122211
Barcelona,Venezuela,424795
Barinas,Venezuela,353442
Barquisimeto,Venezuela,809490
Barra do Corda,Brazil,86662
Barra do Pirai,Brazil,87668
Barra Mansa,Brazil,164052
Barrancabermeja,Colombia,191403
Barranquilla,Colombia,1380425
Barreiras,Brazil,158292
Barretos,Brazil,101220
Barueri,Brazil,251994
Bauru,Brazil,335024
Bayeux,Brazil,91056
Belem,Brazil,1407737
Belford Roxo,Brazil,466096
Belgrano,Argentina,138942
Bello,Colombia,392939
Belo Horizonte,Brazil,2373224
Bento Goncalves,Brazil,90852
Berazategui,Argentina,167498
Betim,Brazil,384000
Birigui,Brazil,102277
Blumenau,Brazil,293949
Boa Vista,Brazil,235150
Bogota,Colombia,7674366
Botucatu,Brazil,113862
Braganca Paulista,Brazil,125096
Brasilia,Brazil,2207718
Brusque,Brazil,88284
Bucaramanga,Colombia,571820
Buenaventura,Colombia,240387
Buenos Aires,Argentina,13076300
Cabimas,Venezuela,200818
Cabo,Brazil,143105
Cabo Frio,Brazil,108239
Cachoeirinha,Brazil,121084
Cachoeiro de Itapemirim,Brazil,187019
Cagua,Venezuela,119033
Caieiras,Brazil,87188
Cajamarca,Peru,135000
Calabozo,Venezuela,117132
Calama,Chile,143084
Cali,Colombia,2392877
Callao,Peru,813264
Camacari,Brazil,188758
Cambe,Brazil,91080
Campina Grande,Brazil,348936
Campinas,Brazil,1031554
Campo Grande,Brazil,729151
Campo Largo,Brazil,94668
Campos dos Goytacazes,Brazil,387417
Canoas,Brazil,328291
Capiata,Paraguay,198553
Caracas,Venezuela,3000000
Caraguatatuba,Brazil,90843
Carapicuiba,Brazil,361112
Carora,Venezuela,93788
Cartagena,Colombia,952024
Cartago,Colombia,134827
Caruaru,Brazil,235371
Carupano,Venezuela,112082
Cascavel,Brazil,257172
Castanhal,Brazil,137406
Catanduva,Brazil,109612
Catia La Mar,Venezuela,106822
Caucaia,Brazil,275019
Caxias,Brazil,148072
Caxias do Sul,Brazil,381270
Chapeco,Brazil,160157
Charallave,Venezuela,129182
Chiclayo,Peru,577375
Chillan,Chile,150396
Chimbote,Peru,316966
Chincha Alta,Peru,153076
Chosica,Peru,88606
Cienaga,Colombia,88311
Ciudad Bolivar,Venezuela,338000
Ciudad del Este,Paraguay,320782
Ciudad Guayana,Venezuela,746535
Cochabamba,Bolivia,900414
Colatina,Brazil,101190
Colombo,Brazil,217000
Comodoro Rivadavia,Argentina,140850
Concepcion,Chile,215413
Concordia,Argentina,145210
Conselheiro Lafaiete,Brazil,111596
Contagem,Brazil,627123
Copiapo,Chile,129280
Coquimbo,Chile,161317
Cordoba,Argentina,1428214
Coro,Venezuela,195227
Coronel,Chile,92940
Coronel Fabriciano,Brazil,100916
Corrientes,Argentina,339067
Corumba,Brazil,96520
Cotia,Brazil,174828
Crato,Brazil,88786
Criciuma,Brazil,161954
Cua,Venezuela,182558
Cubatao,Brazil,118410
Cucuta,Colombia,721398
Cuenca,Ecuador,276964
Cuiaba,Brazil,521934
Cumana,Venezuela,257783
Curico,Chile,102438
Curitiba,Brazil,1718421
Cusco,Peru,312140
Diadema,Brazil,390633
Divinopolis,Brazil,193832
Dosquebradas,Colombia,179583
Dourados,Brazil,162202
Duitama,Colombia,92040
Duque de Caxias,Brazil,818329
Ejido,Venezuela,106915
El Limon,Venezuela,148247
El Tigre,Venezuela,150999
Eloy Alfaro,Ecuador,167784
Embu,Brazil,221733
Envigado,Colombia,163007
Erechim,Brazil,96087
Esmeraldas,Ecuador,165216
Esmeraldas,Brazil,103206
Eunapolis,Brazil,114275
Facatativa,Colombia,94611
Feira de Santana,Brazil,481911
Fernando de la Mora,Paraguay,120167
Ferraz de Vasconcelos,Brazil,167900
Florencia,Colombia,130337
Florianopolis,Brazil,412724
Floridablanca,Colombia,252267
Formosa,Argentina,221383
Fortaleza,Brazil,2400000
Foz do Iguacu,Brazil,293523
Franca,Brazil,305041
Francisco Morato,Brazil,171790
Franco da Rocha,Brazil,108858
Fusagasuga,Colombia,88820
Garanhuns,Brazil,110085
Georgetown,Guyana,235017
Girardot City,Colombia,130289
Giron,Colombia,108466
Goiania,Brazil,1171195
Governador Valadares,Brazil,250878
Gravatai,Brazil,238778
Guacara,Venezuela,151752
Guadalajara de Buga,Colombia,118004
Guaiba,Brazil,101024
Guanare,Venezuela,112286
Guarapari,Brazil,100925
Guarapuava,Brazil,150850
Guaratingueta,Brazil,105880
Guarenas,Venezuela,181612
Guaruja,Brazil,310424
Guarulhos,Brazil,1169577
Guatire,Venezuela,191903
Guayaquil,Ecuador,1952029
Hortolandia,Brazil,203533
Huancayo,Peru,376657
Huanuco,Peru,147959
Huaraz,Peru,86934
Ibague,Colombia,421685
Ibarra,Ecuador,132977
Ibirite,Brazil,141374
Ica,Peru,246844
Ilheus,Brazil,155499
Imperatriz,Brazil,218106
Indaiatuba,Brazil,179911
Ipatinga,Brazil,228746
Iquique,Chile,227499
Iquitos,Peru,437620
Itabira,Brazil,99496
Itaborai,Brazil,182498
Itabuna,Brazil,205660
Itaguai,Brazil,100752
Itaguei,Colombia,281853
Itajai,Brazil,155716
Itanhaem,Brazil,90385
Itapecerica da Serra,Brazil,151605
Itapetininga,Brazil,126243
Itapevi,Brazil,201748
Itaquaquecetuba,Brazil,336679
Itu,Brazil,137586
Jaboatao,Brazil,702621
Jaboatao dos Guararapes,Brazil,630008
Jacarei,Brazil,213110
Jandira,Brazil,113605
Japeri,Brazil,95101
Jaragua do Sul,Brazil,130130
Jau,Brazil,119206
Jequie,Brazil,127475
Ji Parana,Brazil,107697
Joao Pessoa,Brazil,650883
Joinville,Brazil,461304
Juazeiro do Norte,Brazil,225230
Juiz de Fora,Brazil,470193
Juliaca,Peru,245675
Jundiai,Brazil,321589
La Paz,Bolivia,812799
La Pintana,Chile,201178
La Plata,Argentina,694167
La Rioja,Argentina,162620
La Serena,Chile,154521
La Victoria,Venezuela,87045
Lages,Brazil,164676
Lambare,Paraguay,126377
Lauro de Freitas,Brazil,141280
Lima,Peru,7737002
Limeira,Brazil,289665
Limpio,Paraguay,96143
Linhares,Brazil,105075
Lo Prado,Chile,104316
Loja,Ecuador,117796
Londrina,Brazil,471832
Los Angeles,Chile,125430
Los Teques,Venezuela,140617
Luziania,Brazil,143601
Macae,Brazil,143029
Macapa,Brazil,338936
Maceio,Brazil,954991
Machala,Ecuador,198123
Magangue,Colombia,100313
Maicao,Colombia,130348
Malambo,Colombia,101534
Manaus,Brazil,1598210
Manizales,Colombia,357814
Manta,Ecuador,183166
Mar del Plata,Argentina,553935
Maraba,Brazil,145860
Maracaibo,Venezuela,2225000
Maracanau,Brazil,193529
Maracay,Venezuela,1754256
Mariara,Venezuela,105486
Marilia,Brazil,212218
Maringa,Brazil,311724
Maturin,Venezuela,410972
Maua,Brazil,386069
Medellin,Colombia,1999979
Mendoza,Argentina,876884
Merida,Venezuela,300000
Milagro,Ecuador,133508
Mogi das Cruzes,Brazil,325746
Mogi Guacu,Brazil,128865
Monteria,Colombia,272420
Montero,Bolivia,88616
Montes Claros,Brazil,332379
Montevideo,Uruguay,1270737
Moron,Argentina,319934
Mossoro,Brazil,202005
Mucumpiz,Venezuela,215259
Muriae,Brazil,91173
Natal,Brazil,763043
Neiva,Colombia,352855
Nemby,Paraguay,94641
Neuquen,Argentina,242092
Nilopolis,Brazil,147281
Niteroi,Brazil,456456
Nossa Senhora do Socorro,Brazil,163993
Nova Friburgo,Brazil,153361
Nova Iguacu,Brazil,1002118
Nova Lima,Brazil,88399
Novo Hamburgo,Brazil,253841
Nuestra Senora del Rosario de Baruta,Venezuela,244216
Ocumare del Tuy,Venezuela,166072
Olinda,Brazil,366754
Oruro,Bolivia,208684
Osasco,Brazil,677856
Osorno,Chile,135773
Ourinhos,Brazil,97799
Palhoca,Brazil,122423
Palmas,Brazil,196272
Palmira,Colombia,247986
Palo Negro,Venezuela,128875
Paramaribo,Suriname,223757
Parana,Argentina,262295
Paranagua,Brazil,141013
Parnaiba,Brazil,138008
Parnamirim,Brazil,150343
Passo Fundo,Brazil,179529
Passos,Brazil,98752
Pasto,Colombia,382236
Patos,Brazil,92575
Patos de Minas,Brazil,126234
Paulista,Brazil,289971
Pelotas,Brazil,320674
Pereira,Colombia,440118
Pergamino,Argentina,87652
Petare,Venezuela,364684
Petrolina,Brazil,194650
Petropolis,Brazil,272691
Pilar,Argentina,226517
Pindamonhangaba,Brazil,132218
Pinhais,Brazil,117000
Piracicaba,Brazil,342209
Piura,Peru,325466
Planaltina,Brazil,189412
Planaltina,Brazil,88853
Poa,Brazil,107432
Pocos de Caldas,Brazil,146588
Ponta Grossa,Brazil,292177
Popayan,Colombia,258653
Porlamar,Venezuela,87120
Porto Alegre,Brazil,1372741
Porto Seguro,Brazil,123173
Porto Velho,Brazil,306180
Portoviejo,Ecuador,170326
Posadas,Argentina,323739
Potosi,Bolivia,141251
Pouso Alegre,Brazil,115201
Praia Grande,Brazil,250027
Presidente Prudente,Brazil,209502
Pucallpa,Peru,310750
Puente Alto,Chile,510417
Puerto Cabello,Venezuela,174000
Puerto La Cruz,Venezuela,370000
Puerto Montt,Chile,160054
Puno,Peru,116552
Punta Arenas,Chile,117430
Punto Fijo,Venezuela,131784
Queimados,Brazil,135741
Quevedo,Ecuador,119436
Quillacollo,Bolivia,87309
Quilmes,Argentina,518788
Quilpue,Chile,130263
Quito,Ecuador,1399814
Rafaela,Argentina,88713
Rancagua,Chile,212695
Recife,Brazil,1478098
Reconquista,Argentina,90184
Resende,Brazil,111514
Resistencia,Argentina,387158
Ribeirao das Neves,Brazil,406802
Ribeirao Pires,Brazil,111888
Ribeirao Preto,Brazil,619746
Rio Branco,Brazil,257642
Rio Claro,Brazil,180147
Rio Cuarto,Argentina,153757
Rio das Ostras,Brazil,100000
Rio de Janeiro,Brazil,6023699
Rio Grande,Brazil,187838
Riobamba,Ecuador,124478
Riohacha,Colombia,92431
Rondonopolis,Brazil,152912
Rosario,Argentina,1173533
Sacaba,Bolivia,107628
Salta,Argentina,512686
Salto,Uruguay,99823
Salto,Brazil,98387
Salvador,Brazil,2711840
San Bernardo,Chile,249858
San Carlos de Bariloche,Argentina,95394
San Cristobal,Venezuela,246583
San Fernando del Valle de Catamarca,Argentina,188812
San Juan,Argentina,447048
San Juan de los Morros,Venezuela,87739
San Lorenzo,Paraguay,227876
San Luis,Argentina,183982
San Miguel de Tucuman,Argentina,781023
San Nicolas de los Arroyos,Argentina,127742
San Rafael,Argentina,109163
San Salvador de Jujuy,Argentina,305891
Santa Barbara d'Oeste,Brazil,188000
Santa Cruz de la Sierra,Bolivia,1364389
Santa Cruz do Sul,Brazil,106113
Santa Fe de la Vera Cruz,Argentina,489505
Santa Luzia,Brazil,243503
Santa Maria,Brazil,249219
Santa Marta,Colombia,431781
Santa Rita,Brazil,119893
Santa Rosa,Argentina,111424
Santa Teresa del Tuy,Venezuela,278890
Santana de Parnaiba,Brazil,98989
Santana do Livramento,Brazil,89694
Santarem,Brazil,189047
Santiago,Chile,4837295
Santiago de Surco,Peru,251648
Santiago del Estero,Argentina,354692
Santo Andre,Brazil,662373
Santo Domingo de los Colorados,Ecuador,200421
Santos,Brazil,411403
Sao Bernardo do Campo,Brazil,743372
Sao Caetano do Sul,Brazil,136453
Sao Carlos,Brazil,205035
Sao Joao de Meriti,Brazil,454849
Sao Jose,Brazil,200000
Sao Jose do Rio Preto,Brazil,374699
Sao Jose dos Campos,Brazil,613764
Sao Jose dos Pinhais,Brazil,124224
Sao Leopoldo,Brazil,209229
Sao Lourenco da Mata,Brazil,88416
Sao Luis,Brazil,917237
Sao Paulo,Brazil,10021295
Sao Vicente,Brazil,324457
Sapucaia,Brazil,130937
Serra,Brazil,394153
Sertaozinho,Brazil,99211
Sete Lagoas,Brazil,201334
Simoes Filho,Brazil,116662
Sincelejo,Colombia,261187
Sinop,Brazil,116013
Soacha,Colombia,313945
Sobral,Brazil,157996
Sogamoso,Colombia,126551
Soledad,Colombia,342556
Sorocaba,Brazil,558862
Sucre,Bolivia,224838
Sullana,Peru,160789
Sumare,Brazil,227977
Suzano,Brazil,283314
Taboao da Serra,Brazil,214523
Tacna,Peru,280098
Talara,Peru,99074
Talca,Chile,197479
Talcahuano,Chile,252968
Tandil,Argentina,104325
Tarija,Bolivia,159269
Tatui,Brazil,93580
Taubate,Brazil,251641
Temuco,Chile,238129
Teofilo Otoni,Brazil,101170
Teresina,Brazil,744512
Teresopolis,Brazil,123979
Timon,Brazil,124427
Timoteo,Brazil,91722
Toledo,Brazil,119313
Trelew,Argentina,93442
Trindade,Brazil,97521
Trujillo,Peru,747450
Tulua,Colombia,165501
Tumaco,Colombia,86713
Tumbes,Peru,109223
Tunja,Colombia,117479
Turmero,Venezuela,344700
Tutamandahostel,Ecuador,140000
Uba,Brazil,97828
Uberaba,Brazil,260843
Uberlandia,Brazil,563536
Umuarama,Brazil,107319
Uruguaiana,Brazil,123480
Valdivia,Chile,133419
Valencia,Venezuela,1385083
Valera,Venezuela,93756
Valinhos,Brazil,88630
Valle de La Pascua,Venezuela,89080
Valledupar,Colombia,308237
Valparaiso,Chile,282448
Varginha,Brazil,116571
Varzea Grande,Brazil,249752
Varzea Paulista,Brazil,110936
Vespasiano,Brazil,94749
Viamao,Brazil,285269
Vila Velha,Brazil,394930
Villa Alemana,Chile,97320
Villa Lugano,Argentina,114000
Villa Maria,Argentina,92453
Villa Mercedes,Argentina,96781
Villavicencio,Colombia,321717
Vina del Mar,Chile,294551
Vitoria,Brazil,312656
Vitoria da Conquista,Brazil,253137
Vitoria de Santo Antao,Brazil,107383
Volta Redonda,Brazil,249580
Votorantim,Brazil,99390
Yaritagua,Venezuela,89662
Zarate,Argentina,88781
Zipaquira,Colombia,91235
